PerceptionValue,MaxSpeed,Layout,GroupsStart,GroupsX1,GroupsX2,GroupsEnd
1.0,1.5,20260908_013309_layout_32,5,3,3,5
1.0,1.5,20260908_013309_layout_33,6,6,5,9
1.0,1.5,20260908_013309_layout_34,6,6,6,8
1.0,1.5,20260908_013309_layout_35,6,5,5,6
1.0,1.5,20260908_013309_layout_36,6,5,5,5
1.0,1.5,20260908_013309_layout_37,10,7,7,5
1.0,1.5,20260908_013309_layout_38,10,11,11,7
1.0,1.5,20260908_013309_layout_39,2,5,4,7
1.0,3.0,20260908_013309_layout_00,5,7,6,9
1.0,3.0,20260908_013309_layout_01,3,6,7,9
1.0,3.0,20260908_013309_layout_02,7,7,10,10
1.0,3.0,20260908_013309_layout_03,8,7,7,8
1.0,3.0,20260908_013309_layout_04,9,9,10,15
1.0,3.0,20260908_013309_layout_05,6,8,8,9
1.0,3.0,20260908_013309_layout_06,4,7,7,7
1.0,3.0,20260908_013309_layout_07,5,5,5,9
1.0,3.0,20260908_013309_layout_08,6,7,7,11
1.0,3.0,20260908_013309_layout_09,6,5,6,10
1.0,3.0,20260908_013309_layout_10,5,4,4,10
1.0,3.0,20260908_013309_layout_11,5,5,7,12
1.0,3.0,20260908_013309_layout_12,5,8,8,4
1.0,3.0,20260908_013309_layout_13,4,7,6,9
1.0,3.0,20260908_013309_layout_14,6,7,7,9
1.0,3.0,20260908_013309_layout_15,7,6,5,15
1.0,3.0,20260908_013309_layout_16,8,6,6,8
1.0,3.0,20260908_013309_layout_17,7,7,7,8
1.0,3.0,20260908_013309_layout_18,5,6,7,13
1.0,3.0,20260908_013309_layout_19,8,7,8,5
1.0,3.0,20260908_013309_layout_20,6,7,6,5
1.0,3.0,20260908_013309_layout_21,6,5,5,7
1.0,3.0,20260908_013309_layout_22,5,6,5,5
1.0,3.0,20260908_013309_layout_23,11,10,10,13
1.0,3.0,20260908_013309_layout_24,4,6,6,14
1.0,3.0,20260908_013309_layout_25,6,6,7,12
1.0,3.0,20260908_013309_layout_26,4,7,7,5
1.0,3.0,20260908_013309_layout_27,7,6,6,7
1.0,3.0,20260908_013309_layout_28,10,9,9,15
1.0,3.0,20260908_013309_layout_29,5,5,5,6
1.0,3.0,20260908_013309_layout_30,3,7,7,15
1.0,3.0,20260908_013309_layout_31,8,9,9,10
1.0,3.0,20260908_013309_layout_32,4,3,3,11
1.0,3.0,20260908_013309_layout_33,4,6,6,6
1.0,3.0,20260908_013309_layout_34,8,6,7,12
1.0,3.0,20260908_013309_layout_35,6,6,6,10
1.0,3.0,20260908_013309_layout_36,6,6,5,9
1.0,3.0,20260908_013309_layout_37,10,9,8,8
1.0,3.0,20260908_013309_layout_38,11,8,8,11
1.0,3.0,20260908_013309_layout_39,6,7,7,7
1.5,1.5,20260908_013309_layout_00,2,3,3,3
1.5,1.5,20260908_013309_layout_01,4,4,4,4
1.5,1.5,20260908_013309_layout_02,4,3,3,4
1.5,1.5,20260908_013309_layout_03,3,3,3,2
1.5,1.5,20260908_013309_layout_04,5,3,3,3
1.5,1.5,20260908_013309_layout_05,3,3,3,5
1.5,1.5,20260908_013309_layout_06,2,2,3,3
1.5,1.5,20260908_013309_layout_07,3,3,3,3
1.5,1.5,20260908_013309_layout_08,2,2,2,3
1.5,1.5,20260908_013309_layout_09,5,3,3,4
1.5,1.5,20260908_013309_layout_10,3,3,3,3
1.5,1.5,20260908_013309_layout_11,5,5,5,4
1.5,1.5,20260908_013309_layout_12,2,2,2,4
1.5,1.5,20260908_013309_layout_13,2,4,4,4
1.5,1.5,20260908_013309_layout_14,5,5,5,6
1.5,1.5,20260908_013309_layout_15,4,6,7,6
1.5,1.5,20260908_013309_layout_16,4,4,4,5
1.5,1.5,20260908_013309_layout_17,3,4,4,4
1.5,1.5,20260908_013309_layout_18,4,2,2,3
1.5,1.5,20260908_013309_layout_19,3,4,3,2
1.5,1.5,20260908_013309_layout_20,3,1,1,3
1.5,1.5,20260908_013309_layout_21,6,5,4,5
1.5,1.5,20260908_013309_layout_22,3,4,4,3
1.5,1.5,20260908_013309_layout_23,2,3,2,3
1.5,1.5,20260908_013309_layout_24,4,6,6,6
1.5,1.5,20260908_013309_layout_25,3,3,3,4
1.5,1.5,20260908_013309_layout_26,3,4,4,6
1.5,1.5,20260908_013309_layout_27,4,4,3,5
1.5,1.5,20260908_013309_layout_28,4,4,4,4
