file,PerceptionValue,MaxSpeed,Layout,eps,x1,x2,t_start,t_x1,t_x2,t_end,GroupsStart,GroupsX1,GroupsX2,GroupsEnd,endReason
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_25.json,0.5,1.5,20260908_013309_layout_25,1.5,-0.25,0.25,1.0,13.567000389099121,13.932999610900879,30.700000762939453,4,3,5,11,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_26.json,0.5,1.5,20260908_013309_layout_26,1.5,-0.25,0.25,1.0,13.300000190734863,13.649999618530273,30.700000762939453,5,4,4,7,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_27.json,0.5,1.5,20260908_013309_layout_27,1.5,-0.25,0.25,1.0,13.399999618530273,13.732999801635742,30.700000762939453,5,3,4,7,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_28.json,0.5,1.5,20260908_013309_layout_28,1.5,-0.25,0.25,1.0,13.300000190734863,13.633000373840332,30.700000762939453,5,2,4,8,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_29.json,0.5,1.5,20260908_013309_layout_29,1.5,-0.25,0.25,1.0,13.282999992370605,13.616999626159668,30.700000762939453,3,3,3,9,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_30.json,0.5,1.5,20260908_013309_layout_30,1.5,-0.25,0.25,1.0,13.5,13.833000183105469,30.700000762939453,4,4,4,9,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_31.json,0.5,1.5,20260908_013309_layout_31,1.5,-0.25,0.25,1.0,13.416999816894531,13.75,30.700000762939453,8,8,7,11,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_32.json,0.5,1.5,20260908_013309_layout_32,1.5,-0.25,0.25,1.0,13.282999992370605,13.616999626159668,30.700000762939453,5,3,4,9,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_33.json,0.5,1.5,20260908_013309_layout_33,1.5,-0.25,0.25,1.0,13.567000389099121,13.899999618530273,30.700000762939453,6,6,6,10,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_34.json,0.5,1.5,20260908_013309_layout_34,1.5,-0.25,0.25,1.0,13.449999809265137,13.782999992370605,30.700000762939453,4,3,4,6,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_35.json,0.5,1.5,20260908_013309_layout_35,1.5,-0.25,0.25,1.0,13.532999992370605,13.883000373840332,30.700000762939453,3,2,3,7,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_36.json,0.5,1.5,20260908_013309_layout_36,1.5,-0.25,0.25,1.0,13.550000190734863,13.899999618530273,30.700000762939453,5,8,7,7,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_37.json,0.5,1.5,20260908_013309_layout_37,1.5,-0.25,0.25,1.0,13.449999809265137,13.782999992370605,30.700000762939453,4,4,4,7,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_38.json,0.5,1.5,20260908_013309_layout_38,1.5,-0.25,0.25,1.0,13.350000381469727,13.699999809265137,30.700000762939453,7,7,6,9,timeout
type_flocking_randommovement_0.00_perceptionrad_0.50_maxspeed_1.50_20260908_013309_layout_39.json,0.5,1.5,20260908_013309_layout_39,1.5,-0.25,0.25,1.0,13.317000389099121,13.649999618530273,30.700000762939453,2,3,3,10,timeout
